tot_bill,tip,sex,smoker,day,time,size
16.99,1.01,female,no,sun,Dinner,2
10.34,1.66,male,no,sun,Dinner,3
21.01,3.5,male,no,sun,Dinner,3
23.68,3.31,male,no,sun,Dinner,2
24.59,3.61,female,no,sun,Dinner,4
25.29,4.71,male,no,sun,Dinner,4
8.77,2,male,no,sun,Dinner,2
26.88,3.12,male,no,sun,Dinner,4
15.04,1.96,male,no,sun,Dinner,2
14.78,3.23,male,no,sun,Dinner,2
10.27,1.71,male,no,sun,Dinner,2
35.26,5,female,no,sun,Dinner,4
15.42,1.57,male,no,sun,Dinner,2
18.43,3,male,no,sun,Dinner,4
14.83,3.02,female,no,sun,Dinner,2
21.58,3.92,male,no,sun,Dinner,2
10.33,1.67,female,no,sun,Dinner,3
16.29,3.71,male,no,sun,Dinner,3
16.97,3.5,female,no,sun,Dinner,3
20.65,3.35,male,no,sat,Dinner,3
17.92,4.08,male,no,sat,Dinner,2
20.29,2.75,female,no,sat,Dinner,2
